"Barcode", "Price", "Catalog", "Detail", "NewPrice", "OldPrice"
"731509587159", "100", "Cosmetic", "", "", ""
"731509612035", "100", "Cosmetic", "", "", ""
"719565323867", "250", "Cosmetic", "", "", ""
"430000125548", "600", "Cosmetic", "", "", ""
"430000147304", "150", "Cosmetic", "", "", ""
"430000147311", "200", "Cosmetic", "", "", ""
"430000147328", "600", "Cosmetic", "", "", ""
"731509560459", "300", "Cosmetic", "", "", ""
"731509584165", "300", "Cosmetic", "", "", ""
"731509586343", "300", "Cosmetic", "", "", ""
"731509584134", "300", "Cosmetic", "", "", ""
"731509584127", "300", "Cosmetic", "", "", ""
"731509584127", "300", "Cosmetic", "", "", ""
"430000125562", "300", "Cosmetic", "", "", ""
"430000147335", "200", "Cosmetic", "", "", ""
"430000147137", "100", "Cosmetic", "", "", ""
"430000147267", "075", "Cosmetic", "", "", ""
"430000191055", "100", "Cosmetic", "", "", ""
"731509612035", "100", "Cosmetic", "", "", ""
"731509612042", "300", "Cosmetic", "", "", ""
"731509505719", "100", "Cosmetic", "", "", ""
"731509505238", "100", "Cosmetic", "", "", ""
"731509545395", "295", "Cosmetic", "", "", ""
"731509545388", "295", "Cosmetic", "", "", ""
"430000125531", "200", "Cosmetic", "", "", ""
"430000125555", "250", "Cosmetic", "", "", ""
"430000147182", "200", "Cosmetic", "", "", ""
"430000147250", "100", "Cosmetic", "", "", ""
"430000147298", "200", "Cosmetic", "", "", ""
"731509505207", "295", "Cosmetic", "", "", ""
"731509505290", "295", "Cosmetic", "", "", ""
"731509528831", "295", "Cosmetic", "", "", ""
"731509571004", "295", "Cosmetic", "", "", ""
"731509528824", "295", "Cosmetic", "", "", ""
"731509534979", "295", "Cosmetic", "", "", ""
"430000125579", "250", "Cosmetic", "", "", ""
"430000147212", "100", "Cosmetic", "", "", ""
"731509103229", "500", "Cosmetic", "", "", ""
"731509658088", "500", "Cosmetic", "", "", ""
"731509586756", "500", "Cosmetic", "", "", ""
"731509613148", "500", "Cosmetic", "", "", ""
"731509587111", "400", "Cosmetic", "", "", ""
"731509103229", "400", "Cosmetic", "", "", ""
"613008719302", "idk", "Cosmetic", "", "", ""
"078742147130", "idk", "Cosmetic", "", "", ""
"027000490174", "375", "Popcorn", "", "", ""
"072613451784", "485", "Laundry addition", "", "", ""
"035000393722", "700", "Laundry addition", "", "", ""
"035000393715", "700", "Laundry addition", "", "", ""
"037000425397", "300", "Laundry addition", "", "", ""
"037000898504", "450", "Laundry addition", "", "", ""
"072613451692", "300", "Laundry addition", "", "", ""
"035000390141", "300", "Laundry addition", "", "", ""
"072613460946", "450", "Laundry addition", "", "", ""
"072613451852", "450", "Laundry addition", "", "", ""
"035000390158", "300", "Laundry addition", "", "", ""
"035000391315", "225", "Laundry addition", "", "", ""
"037000952848", "500", "Laundry addition", "", "", ""
"072613451081", "200", "Laundry addition", "", "", ""
"610352011618", "100", "Laundry addition", "", "", ""
"610352011564", "100", "Laundry addition", "", "", ""
"610352011571", "280", "Laundry addition", "", "", ""
"037000017981", "850", "Laundry addition", "", "", ""
